                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 2.1201,                 1.4782,                 1.7544,                0.70395,                0.36215,                0.37615,                0.17904,                  1.916,                 1.2937,                 1.6579,             0.00060847,             0.00060847,             0.00060847
                    118,                 2.0553,                 1.4684,                 1.7192,                0.70007,                0.33521,                0.32712,                0.14777,                 2.0145,                 1.4246,                 1.7385,             0.00060139,             0.00060139,             0.00060139
                    119,                 2.1487,                 1.5119,                 1.7704,                0.69695,                0.33445,                0.35383,                 0.1631,                  1.973,                 1.3716,                 1.7218,             0.00059432,             0.00059432,             0.00059432
                    120,                 2.1542,                 1.5002,                 1.7667,                0.68496,                 0.3489,                0.33981,                0.15276,                 2.0037,                 1.3915,                 1.7304,             0.00058725,             0.00058725,             0.00058725
                    121,                 2.1345,                 1.4466,                 1.7351,                0.69585,                0.39201,                0.34652,                0.16062,                 1.9513,                 1.3846,                 1.6925,             0.00058017,             0.00058017,             0.00058017
                    122,                 2.1532,                 1.6045,                  1.795,                0.67147,                0.36958,                0.33795,                0.15664,                 1.9481,                 1.4156,                 1.6954,              0.0005731,              0.0005731,              0.0005731
                    123,                 2.0229,                  1.394,                  1.697,                0.57756,                0.39305,                0.25904,                0.11197,                 2.1634,                 1.9333,                 1.8387,             0.00056603,             0.00056603,             0.00056603
                    124,                 2.1015,                 1.4687,                 1.7326,                  0.666,                0.36339,                0.35779,                0.16534,                  1.913,                 1.3368,                 1.6663,             0.00055895,             0.00055895,             0.00055895
                    125,                 2.1461,                 1.4928,                 1.7229,                0.70492,                0.38472,                0.40256,                0.19296,                  1.843,                 1.2675,                 1.6254,             0.00055188,             0.00055188,             0.00055188
                    126,                 2.0768,                 1.4534,                 1.7305,                0.71853,                0.36899,                 0.4217,                0.20633,                 1.8515,                 1.2726,                 1.6291,             0.00054481,             0.00054481,             0.00054481
                    127,                  2.148,                 1.4415,                 1.7202,                0.67787,                0.35032,                0.35685,                0.16342,                  1.909,                 1.3698,                  1.673,             0.00053773,             0.00053773,             0.00053773
                    128,                 2.0811,                 1.4202,                 1.7208,                0.70754,                0.31794,                0.35004,                0.16234,                 1.9303,                 1.3303,                 1.6873,             0.00053066,             0.00053066,             0.00053066
                    129,                 2.0451,                 1.4031,                 1.7203,                0.67596,                0.34123,                0.33677,                0.15378,                 1.9785,                 1.3443,                 1.7125,             0.00052359,             0.00052359,             0.00052359
                    130,                 2.0678,                 1.4841,                 1.7436,                0.66432,                0.34201,                0.34379,                0.16293,                 1.9742,                 1.3658,                 1.7065,             0.00051651,             0.00051651,             0.00051651
                    131,                 2.0107,                 1.4556,                 1.6965,                0.64469,                0.39218,                 0.3597,                0.17193,                  1.928,                 1.4293,                 1.6866,             0.00050944,             0.00050944,             0.00050944
                    132,                 2.0602,                 1.4353,                 1.7111,                0.64058,                0.38229,                0.32201,                0.15072,                 1.9816,                 1.5073,                 1.7163,             0.00050236,             0.00050236,             0.00050236
                    133,                 2.0572,                 1.5577,                 1.7439,                0.65318,                0.37688,                0.39552,                0.19086,                 1.8867,                 1.3112,                 1.6478,             0.00049529,             0.00049529,             0.00049529
                    134,                 2.0316,                 1.3968,                 1.6847,                0.62573,                 0.3735,                0.34129,                0.15768,                 1.9455,                 1.4173,                 1.6948,             0.00048822,             0.00048822,             0.00048822
                    135,                 2.0275,                 1.4616,                 1.7255,                0.65903,                 0.3909,                0.41617,                0.20182,                  1.888,                 1.3298,                 1.6561,             0.00048114,             0.00048114,             0.00048114
                    136,                 2.0484,                 1.4746,                 1.7099,                 0.6518,                0.34186,                 0.3346,                0.15722,                 1.9373,                 1.3757,                  1.687,             0.00047407,             0.00047407,             0.00047407
                    137,                 1.9975,                 1.4077,                 1.6814,                0.65486,                0.34059,                0.36069,                0.17089,                 1.9217,                 1.3267,                 1.6756,               0.000467,               0.000467,               0.000467
                    138,                 2.0849,                 1.4262,                 1.7183,                0.65068,                0.35729,                0.39126,                0.18902,                 1.9278,                 1.3251,                 1.6808,             0.00045992,             0.00045992,             0.00045992
                    139,                 2.0632,                 1.4371,                 1.7348,                0.65878,                0.36198,                0.36153,                0.16143,                 1.9553,                 1.3478,                 1.6814,             0.00045285,             0.00045285,             0.00045285
                    140,                 1.9858,                 1.3859,                 1.6636,                0.67814,                0.37057,                0.36356,                0.17302,                 1.8809,                 1.2949,                 1.6425,             0.00044578,             0.00044578,             0.00044578
                    141,                 2.0867,                 1.4566,                 1.6944,                0.66174,                0.36146,                0.33511,                0.15879,                 1.9143,                 1.3765,                 1.6761,              0.0004387,              0.0004387,              0.0004387
                    142,                 1.9667,                 1.4036,                 1.6624,                0.66357,                0.39933,                 0.3678,                0.17864,                 1.8818,                 1.3281,                 1.6496,             0.00043163,             0.00043163,             0.00043163
                    143,                 2.0345,                 1.4185,                 1.7016,                 0.6761,                 0.3637,                0.40594,                0.20621,                 1.8768,                 1.3019,                 1.6345,             0.00042456,             0.00042456,             0.00042456
                    144,                 1.9838,                 1.4255,                 1.6941,                0.72146,                0.39975,                0.44631,                0.22921,                 1.8512,                 1.2229,                 1.5996,             0.00041748,             0.00041748,             0.00041748
                    145,                 2.0023,                 1.4396,                 1.6761,                 0.7113,                0.41118,                0.41856,                0.21256,                  1.823,                 1.2257,                  1.605,             0.00041041,             0.00041041,             0.00041041
                    146,                 2.0761,                 1.4515,                  1.671,                0.67069,                0.36974,                  0.331,                0.15704,                 1.9408,                 1.3985,                 1.6914,             0.00040334,             0.00040334,             0.00040334
                    147,                   2.04,                 1.4015,                 1.6905,                0.68974,                0.39755,                0.38863,                0.19645,                  1.856,                 1.2612,                 1.6293,             0.00039626,             0.00039626,             0.00039626
                    148,                  1.984,                 1.3772,                 1.6516,                0.73003,                0.37404,                0.46727,                0.25331,                 1.8202,                 1.1929,                 1.5933,             0.00038919,             0.00038919,             0.00038919
                    149,                 1.9977,                 1.4534,                 1.6938,                0.67906,                0.38279,                0.36853,                 0.1799,                 1.8847,                 1.2596,                  1.639,             0.00038211,             0.00038211,             0.00038211
                    150,                 1.9234,                  1.368,                 1.6348,                0.71175,                0.38932,                0.38708,                0.18917,                 1.8667,                 1.2732,                 1.6334,             0.00037504,             0.00037504,             0.00037504
