                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.4354,                 1.7598,                 2.2543,                0.39599,                   0.43,                0.39035,                0.20726,                 2.0145,                 4.1167,                 3.0444,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.4947,                  1.784,                 2.2725,                0.41752,                0.53333,                0.48947,                0.27389,                 1.6932,                 5.9166,                 2.6119,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.4232,                 1.7781,                 2.2388,                0.42883,                0.57333,                0.45918,                0.27674,                 1.7568,                 6.2547,                 2.7921,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.5032,                 1.7957,                 2.2874,                0.29985,                   0.51,                0.43428,                0.24273,                   1.86,                 7.9208,                 3.0317,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.4031,                 1.7259,                 2.3221,                0.29985,                   0.51,                0.43428,                0.24273,                   1.86,                 7.9208,                 3.0317,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.4156,                 1.7824,                 2.2435,                0.45109,                0.43667,                0.44045,                0.22426,                 1.9302,                 5.9564,                 3.1968,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.3646,                 1.7001,                 2.2323,                0.46751,                   0.61,                0.52503,                0.30344,                 1.6334,                 4.6445,                 2.5612,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.2817,                 1.6528,                 2.1093,                0.52859,                0.61333,                0.51574,                0.28023,                 1.5377,                 3.0476,                  2.389,              0.0011306,              0.0011306,              0.0011306
                     67,                  1.365,                 1.7102,                 2.2094,                0.45399,                0.69335,                0.50598,                0.28588,                 1.5112,                 4.2295,                 2.3917,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.3835,                  1.628,                 2.2071,                0.54738,                0.62667,                0.50441,                0.29134,                 1.5679,                 3.1983,                 2.4013,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.3794,                 1.6566,                 2.2368,                0.51784,                0.62667,                 0.5216,                0.28188,                 1.7317,                 3.3773,                 2.6269,              0.0011059,              0.0011059,              0.0011059
