                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.0524,                 2.2428,                 2.4367,                0.06149,                 0.2595,                0.04586,                0.02085,                 2.3148,                 3.7565,                 2.7281,              0.0013039,              0.0013039,              0.0013039
                     46,                   1.94,                 2.1807,                 2.4162,                0.09467,                 0.2701,                0.05845,                0.02573,                 2.3385,                 4.0064,                 2.7626,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.8413,                 2.1961,                 2.4449,                0.11383,                0.32749,                0.06802,                0.02969,                 2.2936,                 3.6598,                 2.7458,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.9571,                 2.1938,                 2.3726,                0.12075,                 0.4269,                0.08707,                0.03994,                 2.0084,                 3.2901,                 2.4567,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.9242,                 2.2356,                 2.4136,                0.09981,                0.41118,                 0.0718,                0.03218,                  2.081,                 3.5108,                 2.5092,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.8073,                 2.0593,                 2.3556,                0.06603,                0.30263,                0.04021,                0.01624,                 2.4983,                 4.2308,                  2.901,              0.0012627,              0.0012627,              0.0012627
                     51,                  1.948,                 2.1128,                 2.4004,                0.08551,                0.35928,                0.05238,                0.02069,                 2.3848,                 3.6483,                 2.7251,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.8876,                 2.0647,                 2.3205,                0.10619,                0.39053,                0.06706,                0.02649,                 2.2359,                 3.8523,                 2.6427,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.8273,                 2.0342,                 2.3465,                0.08935,                0.27887,                0.05274,                0.02011,                 2.4367,                  4.612,                 2.8375,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.9153,                 2.1425,                 2.3552,                0.08426,                0.38176,                0.06398,                0.02963,                 2.1655,                 4.7125,                 2.5341,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.8198,                 2.0846,                 2.2382,                0.09549,                0.24214,                0.06452,                0.03063,                 2.0263,                 4.1479,                 2.3967,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.8634,                 2.0233,                 2.2538,                0.09549,                0.24214,                0.06452,                0.03063,                 2.0263,                 4.1479,                 2.3967,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.8321,                 2.0436,                 2.2581,                0.07772,                0.23191,                0.04004,                  0.017,                 2.4619,                  4.113,                 2.9119,              0.0012049,              0.0012049,              0.0012049
                     58,                  1.756,                  2.001,                 2.2381,                 0.1181,                0.25786,                  0.067,                0.03169,                 2.2732,                  3.492,                  2.692,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.7776,                 1.9612,                  2.257,                0.13705,                0.29624,                0.07868,                0.03879,                  2.173,                 3.2932,                 2.5913,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.7986,                 1.9681,                 2.2163,                0.15576,                0.41877,                0.12675,                 0.0677,                 1.8009,                 2.8454,                 2.2065,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.7508,                 1.9028,                 2.1978,                0.18097,                0.38469,                0.13919,                0.07077,                 1.8578,                 2.8228,                  2.276,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.7049,                 1.9453,                 2.2247,                0.33326,                0.29851,                0.15602,                0.07772,                  2.074,                 3.2168,                 2.5498,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.6559,                 1.8072,                 2.1269,                0.31768,                0.35179,                0.17433,                0.08567,                 1.8706,                 3.0032,                 2.3881,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.7275,                 1.9393,                 2.2056,                0.22754,                0.35691,                0.13482,                0.06459,                 1.9007,                 2.9165,                 2.4273,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.7281,                 1.8396,                 2.2115,                0.19733,                0.36166,                0.14035,                0.06956,                 1.8527,                 2.7444,                 2.3431,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.6922,                 1.8706,                  2.167,                0.18227,                0.29587,                 0.1273,                  0.058,                  1.939,                  2.846,                 2.4153,              0.0011306,              0.0011306,              0.0011306
                     67,                  1.681,                 1.8855,                 2.1693,                0.19412,                0.44572,                0.15417,                 0.0774,                 1.7731,                 2.6385,                  2.242,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.6953,                  1.867,                 2.1861,                0.17671,                0.46491,                 0.1732,                 0.0942,                 1.7031,                 2.5583,                 2.1898,              0.0011141,              0.0011141,              0.0011141
