                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.2893,                 1.7848,                 2.0514,                0.15261,                0.43842,                0.13181,                0.04105,                 2.8182,                 6.0799,                 2.4305,              0.0010329,              0.0010329,              0.0010329
                     58,                 2.3043,                 1.7801,                 1.9953,                0.10063,                0.13085,                0.06563,                0.02207,                 3.5561,                 32.447,                 2.9521,              0.0010258,              0.0010258,              0.0010258
                     59,                 2.3008,                 1.7721,                  2.024,                0.06354,                0.49194,                0.15856,                 0.0544,                 2.8119,                 5.9121,                 2.4803,              0.0010187,              0.0010187,              0.0010187
                     60,                 2.1967,                 1.6942,                 1.9846,                0.02268,                0.02787,                0.00633,                0.00442,                 4.0238,                 91.782,                 3.2339,              0.0010117,              0.0010117,              0.0010117
                     61,                 2.2145,                 1.7191,                 2.0129,                0.07356,                0.35224,                0.09998,                 0.0364,                 2.9156,                 11.867,                 2.5853,              0.0010046,              0.0010046,              0.0010046
                     62,                 2.2203,                 1.7141,                 2.0437,                0.06933,                0.38869,                 0.1035,                 0.0373,                 2.9696,                 10.009,                  2.611,             0.00099751,             0.00099751,             0.00099751
                     63,                 2.2401,                 1.7332,                 1.9909,                0.11457,                0.11959,                0.06917,                0.02428,                 3.5663,                 45.213,                 2.9222,             0.00099044,             0.00099044,             0.00099044
                     64,                 2.1843,                 1.6322,                  1.967,                0.09161,                0.22572,                0.07364,                0.02555,                 3.4154,                 19.026,                 2.8428,             0.00098337,             0.00098337,             0.00098337
                     65,                 2.2519,                 1.7335,                 1.9599,                0.11507,                0.18117,                0.08112,                 0.0268,                 3.3853,                 22.237,                 2.7995,             0.00097629,             0.00097629,             0.00097629
                     66,                 2.2292,                 1.7205,                 1.9395,                0.09447,                0.06212,                0.05081,                0.01988,                 3.6997,                 56.644,                 2.8876,             0.00096922,             0.00096922,             0.00096922
                     67,                  2.251,                 1.7702,                  1.962,                0.08259,                  0.074,                0.04521,                0.01583,                  3.798,                 26.864,                 3.1589,             0.00096215,             0.00096215,             0.00096215
                     68,                  2.159,                 1.6863,                 1.9222,                0.05897,                0.27793,                0.05677,                 0.0202,                 3.0935,                 6.9104,                 2.6554,             0.00095507,             0.00095507,             0.00095507
                     69,                 2.1899,                 1.6822,                 1.9423,                0.11975,                0.27489,                0.07961,                 0.0279,                 3.0098,                 5.4102,                 2.5728,               0.000948,               0.000948,               0.000948
                     70,                 2.0824,                 1.6147,                 1.9169,                0.01076,                0.00644,                0.00617,                0.00308,                 3.9621,                 23.254,                 3.1808,             0.00094093,             0.00094093,             0.00094093
                     71,                 2.1122,                 1.6153,                 1.9394,                0.09777,                0.24322,                0.08297,                0.03121,                 3.1129,                 9.0021,                 2.6272,             0.00093385,             0.00093385,             0.00093385
